Plate ID,Well ,Sample ID,User ID,Date ,Time ,Conc. ,Units ,A260 ,A280 ,260/280 ,260/230 ,Conc. Factor (ng/ul),Cursor Pos.,Cursor abs.,340 raw,NA Type
Plate1_RNA,G7,,Default,02/25/21,11:33:00 AM,31.56,ng/ul,0.789,0.388,2.04,1.54,40,260,0.789,0.21,RNA-40
Plate1_RNA,H7,,Default,02/25/21,11:33:00 AM,79.16,ng/ul,1.979,1.178,1.68,0.8,40,260,1.979,2.986,RNA-40
Plate1_RNA,A8,,Default,02/25/21,11:34:00 AM,13.81,ng/ul,0.345,0.167,2.07,3.71,40,260,0.345,0.067,RNA-40
Plate1_RNA,B8,,Default,02/25/21,11:34:00 AM,27.1,ng/ul,0.677,0.335,2.02,1.77,40,260,0.677,0.077,RNA-40
Plate1_RNA,C8,,Default,02/25/21,11:34:00 AM,13.4,ng/ul,0.335,0.181,1.85,1.14,40,260,0.335,0.222,RNA-40
Plate1_RNA,D8,,Default,02/25/21,11:34:00 AM,46.18,ng/ul,1.155,0.54,2.14,1.8,40,260,1.155,1.672,RNA-40
Plate1_RNA,E8,,Default,02/25/21,11:34:00 AM,29.45,ng/ul,0.736,0.352,2.09,1.51,40,260,0.736,8.462,RNA-40
Plate1_RNA,F8,,Default,02/25/21,11:34:00 AM,17.86,ng/ul,0.447,0.219,2.04,1.48,40,260,0.447,0.054,RNA-40
Plate1_RNA,G8,,Default,02/25/21,11:34:00 AM,22.74,ng/ul,0.568,0.282,2.01,1.41,40,260,0.568,0.118,RNA-40
Plate1_RNA,H8,,Default,02/25/21,11:34:00 AM,46.72,ng/ul,1.168,0.62,1.88,1.27,40,260,1.168,0.651,RNA-40
Plate1_RNA,A9,,Default,02/25/21,11:35:00 AM,42.65,ng/ul,1.066,0.535,1.99,1.58,40,260,1.066,0.514,RNA-40
Plate1_RNA,B9,,Default,02/25/21,11:35:00 AM,18.1,ng/ul,0.453,0.252,1.79,1.15,40,260,0.453,0.213,RNA-40
Plate1_RNA,C9,,Default,02/25/21,11:35:00 AM,10.14,ng/ul,0.253,0.128,1.99,1.64,40,260,0.253,0.125,RNA-40
Plate1_RNA,D9,,Default,02/25/21,11:35:00 AM,48.86,ng/ul,1.221,0.588,2.08,1.74,40,260,1.221,0.42,RNA-40
Plate1_RNA,E9,,Default,02/25/21,11:35:00 AM,18.68,ng/ul,0.467,0.255,1.83,1.17,40,260,0.467,0.23,RNA-40
