Tag,Tank,Date,BW,Temp,Sal,Notes
A182,7,2020-08-12,4.7185,28.1,32.1,
A186,7,2020-08-12,3.7961,28,32.1,
A191,7,2020-08-12,3.6185,28,32.1,
207,8,2020-08-12,4.6307,27.9,32.2,
209,8,2020-08-12,4.1622,27.8,32.2,
225,8,2020-08-12,8.9163,27.9,32.2,
234,8,2020-08-12,6.1609,28.2,32.1,
242,8,2020-08-12,5.4826,28.2,32.1,
260,8,2020-08-12,3.0918,28.2,32.1,
263,8,2020-08-12,3.5352,27.8,32.1,
273,8,2020-08-12,7.7925,27.8,32.1,
275,8,2020-08-12,7.8291,27.7,32.1,
A006,8,2020-08-12,3.9418,28.4,32.5,
A013,8,2020-08-12,3.7984,28.2,32.5,
A023,8,2020-08-12,4.6397,28.5,32.2,
A025,8,2020-08-12,3.7961,28.4,32.2,
A035,8,2020-08-12,2.6985,28.5,32.2,
A042,8,2020-08-12,4.7328,28.3,32.3,
A043,8,2020-08-12,4.249,28.3,32.4,
A054,8,2020-08-12,7.9132,28.1,32.4,
A065,8,2020-08-12,4.0968,28.1,32.2,
A079,8,2020-08-12,4.0319,28.1,32.2,
A080,8,2020-08-12,6.3749,28.1,32.2,
A085,8,2020-08-12,4.984,28.2,32.5,
A093,8,2020-08-12,6.8063,28.2,32.5,
A099,8,2020-08-12,3.7962,28.2,32.5,
A124,8,2020-08-12,4.0484,29.1,32.4,
A133,8,2020-08-12,5.4344,28.2,32.5,
A156,8,2020-08-12,5.9464,28.8,32.5,
A168,8,2020-08-12,5.2282,28.8,32.5,
A171,8,2020-08-12,3.5358,28.7,32.5,
A187,8,2020-08-12,7.5583,27.9,32.1,
A193,8,2020-08-12,3.7263,28.1,32.1,
A197,8,2020-08-12,3.7019,27.9,32.1,
257,Holding,2020-08-12,2.8094,28.3,32.1,
A070,Holding,2020-08-12,3.6038,28.1,32.2,
A092,Holding,2020-08-12,3.6358,28.1,32.2,
A141,Holding,2020-08-12,3.2452,28.2,32.5,
A148,Holding,2020-08-12,3.0481,28.2,32.5,
205,1,2020-08-21,7.0894,28.1,33.3,
220,1,2020-08-21,4.8355,28,33.4,
226,1,2020-08-21,2.9426,28,33.5,
231,1,2020-08-21,4.7069,28.1,33.5,
247,1,2020-08-21,5.9326,28.1,33.5,
253,1,2020-08-21,11.3011,28.2,33.4,
262,1,2020-08-21,6.9866,28,33.5,
