sample ID,Timepoint,Tank,Si,,NO2,,NN,,NO3,,NH4 ,,PO4
90-06,90,6,3.828,,0.041,,0.21,,0.169,,0.183,,0.061
90-07,90,7,2.54,,0,,0,,0,,3.364,,0.065
90-08,90,8,3.415,,0.301,,0.634,,0.333,,5.531,,0.067
91-01,91,1,0.612,,0.081,,0.527,,0.446,,0.494,,0.089
91-02,91,2,0.509,,0.058,,0.373,,0.315,,0.525,,0.049
91-03,91,3,0.207,,0.036,,0.236,,0.2,,0.252,,0.037
91-04,91,4,0,,0.075,,0.244,,0.169,,0.42,,0.084
91-05,91,5,0.447,,0.039,,0.21,,0.171,,0.784,,0.033
91-06,91,6,0.505,,0.035,,0.156,,0.121,,0.231,,0.007
91-07,91,7,0,,0.031,,0.144,,0.113,,0.278,,0.044
91-08,91,8,0.306,,0.116,,0.2,,0.084,,0.747,,0.078
91-09,91,Source,8.99,,0.109,,6.761,,6.652,,0.348,,0.062
92-01,92,1,0.559,,0.102,,1.06,,0.958,,0.287,,0.066
92-02,92,2,0.761,,0.107,,0.23,,0.123,,0.209,,0.097
92-03,92,3,0.497,,0.062,,0.219,,0.157,,4.237,,0.074
92-04,92,4,0,,0.062,,0.159,,0.097,,4.347,,0.047
92-05,92,5,0.672,,0.081,,0.416,,0.335,,1.102,,0.05
92-06,92,6,0.604,,0.042,,0.181,,0.139,,0.261,,0.019
92-07,92,7,0.213,,0.055,,0.142,,0.087,,4.776,,0.055
92-08,92,8,0.675,,0.12,,0.179,,0.059,,4.743,,0.258
<<<<<<< HEAD,,,,,,,,,,,,,
=======,,,,,,,,,,,,,
,,,,,,,,,,,,,
>>>>>>> c015a51550f2497737e94843459b918db649f597,,,,,,,,,,,,,
