"","T_Type","Tag","T_AW","T_BW","Temperature","Salinity","X","SW_den"
"180","B","A180",16.2884,2.3092,26.25,33.2,"",1.0216003222695
"181","B","A181",16.2042,2.2924,26.25,33.2,"",1.0216003222695
"182","B","A182",16.1889,2.2815,26.23,33.2,"",1.02160654635835
"183","B","A183",16.2022,2.2812,26.23,33.2,"",1.02160654635835
"184","B","A184",16.2064,2.2892,26.23,33.2,"",1.02160654635835
"185","B","A185",16.2283,2.2939,26.22,33.2,"",1.02160965724719
"186","B","A186",16.2577,2.2971,26.21,33.2,"",1.02161276736551
"187","B","A187",16.2631,2.3041,26.22,33.2,"",1.02160965724719
"188","B","A188",16.3032,2.3025,26.21,33.2,"",1.02161276736551
"189","B","A189",16.3056,2.3042,26.21,33.2,"",1.02161276736551
"190","B","A190",16.3606,2.3151,26.21,33.2,"",1.02161276736551
"191","B","A191",16.1935,2.2959,26.21,33.2,"",1.02161276736551
"192","B","A192",16.1776,2.2877,26.2,33.2,"",1.02161587671317
"193","B","A193",16.1905,2.2857,26.2,33.2,"",1.02161587671317
"194","B","A194",16.2055,2.2877,26.2,33.2,"",1.02161587671317
"195","B","A195",16.2341,2.2898,26.2,33.2,"",1.02161587671317
"196","B","A196",16.2492,2.3009,26.2,33.2,"",1.02161587671317
"197","B","A197",16.2491,2.3049,26.19,33.2,"",1.02161898529007
"198","B","A198",16.2706,2.2978,26.19,33.2,"",1.02161898529007
"199","B","A199",16.2948,2.3042,26.18,33.2,"",1.0216220930961
"200","B","A200",16.3302,2.3091,26.17,33.2,"",1.02162520013113
"201","S","201",10.0171,1.4338,26.09,33.2,"",1.02165002864203
"202","S","202",10.069,1.4394,26.06,33.2,"",1.02165932659844
"203","S","204",10.07,1.4275,26.09,33.2,"",1.02165002864203
"204","S","205",10.1074,1.4352,26.19,33.2,"",1.02161898529007
"205","S","207",10.1113,1.4396,26.26,33.2,"",1.02159720906974
"206","S","208",10.094,1.4188,26.24,33.2,"",1.02160343469908
"207","S","209",10.1204,1.4403,26.21,33.2,"",1.02161276736551
"208","S","211",10.0843,1.4263,26.38,33.2,"",1.02155979063902
"209","S","214",10.013,1.4121,26.44,33.2,"",1.02154103990092
"210","S","215",10.1486,1.4533,26.47,33.2,"",1.02153165416194
"211","S","216",10.0946,1.4146,26.32,33.2,"",1.02157851370348
"212","S","217",10.096,1.4086,26.42,33.2,"",1.02154729322028
"213","S","218",10.1044,1.4166,26.42,33.2,"",1.02154729322028
"214","S","220",10.0893,1.4114,26.41,33.2,"",1.02155041872764
"215","S","221",10.1333,1.4487,26.39,33.2,"",1.02155666743712
"216","S","222",10.1323,1.4172,26.38,33.2,"",1.02155979063902
"217","S","224",10.0844,1.4081,26.36,33.2,"",1.02156603473657
"218","S","225",10.0275,1.4291,26.35,33.2,"",1.02156915563199
"219","S","226",10.0067,1.4031,26.36,33.2,"",1.02156603473657
"220","S","227",10.0339,1.4139,26.36,33.2,"",1.02156603473657
"221","S","228",10.0645,1.4428,26.35,33.2,"",1.02156915563199
"222","S","229",10.0661,1.424,26.37,33.2,"",1.02156291307221
"223","S","230",10.0998,1.3997,26.34,33.2,"",1.02157227575836
"224","S","231",10.1116,1.4221,26.39,33.2,"",1.02155666743712
"225","S","232",10.1242,1.4352,26.37,33.2,"",1.02156291307221
"226","S","234",10.0738,1.4292,26.36,33.2,"",1.02156603473657
"227","S","235",10.0915,1.4179,26.34,33.2,"",1.02157227575836
"228","S","237",10.0278,1.4175,26.33,33.2,"",1.02157539511556
"229","S","238",10.1094,1.4148,26.32,33.2,"",1.02157851370348
"230","S","239",10.0457,1.4237,26.31,33.2,"",1.02158163152201
"231","S","241",10.047,1.419,26.26,33.2,"",1.02159720906974
"232","S","242",10.0163,1.3932,26.26,33.2,"",1.02159720906974
"233","S","243",10.0742,1.4168,26.28,33.2,"",1.02159098036008
"234","S","244",10.0676,1.428,26.25,33.2,"",1.0216003222695
"235","S","245",10.1328,1.425,26.33,33.2,"",1.02157539511556
"236","S","247",10.1079,1.4121,26.36,33.2,"",1.02156603473657
"237","S","250",10.0778,1.4294,26.33,33.2,"",1.02157539511556
"238","S","251",10.0425,1.4215,26.33,33.2,"",1.02157539511556
"239","S","252",10.0634,1.4282,26.34,33.2,"",1.02157227575836
"240","S","253",10.0603,1.4344,26.35,33.2,"",1.02156915563199
"241","S","254",10.0346,1.4187,26.36,33.2,"",1.02156603473657
"242","S","256",10.0719,1.4287,26.35,33.2,"",1.02156915563199
"243","S","257",10.1273,1.4425,26.31,33.2,"",1.02158163152201
"244","S","258",10.0774,1.4192,26.31,33.2,"",1.02158163152201
"245","S","260",10.078,1.4287,26.29,33.2,"",1.02158786485043
"246","S","261",10.1769,1.433,26.26,33.2,"",1.02159720906974
"247","S","266",10.104,1.43,26.25,33.2,"",1.0216003222695
"248","S","262",10.0389,1.4016,26.25,33.2,"",1.0216003222695
"249","S","263",10.0878,1.4412,26.27,33.2,"",1.02159409509989
"250","S","264",10.0464,1.3983,26.26,33.2,"",1.02159720906974
"251","S","265",10.0972,1.4118,26.07,33.2,"",1.02165622805185
"252","S","268",10.0483,1.421,26.05,33.2,"",1.02166242437268
"253","S","269",10.1117,1.4325,26.04,33.2,"",1.02166552137443
"254","S","270",10.0516,1.4173,26.03,33.2,"",1.0216686176036
"255","S","272",10.093,1.44294,26.01,33.2,"",1.0216748077437
"256","S","273",10.0871,1.4285,25.99,33.2,"",1.02168099479207
"257","S","274",10.1163,1.4319,25.98,33.2,"",1.02168408715656
"258","S","275",10.1239,1.4195,25.96,33.2,"",1.0216902695656
"259","S","276",10.0443,1.4228,25.97,33.2,"",1.02168717874777
"260","S","277",10.1045,1.4502,25.97,33.2,"",1.02168717874777
"261","S","279",10.1388,1.4085,25.96,33.2,"",1.0216902695656
"262","S","281",10.1314,1.4583,25.91,33.2,"",1.02170571204981
"263","S","282",10.1918,1.4431,25.93,33.2,"",1.02169953737757
"264","S","283",10.1429,1.4277,25.92,33.2,"",1.02170262510067
"265","S","284",10.0752,1.4111,25.93,33.2,"",1.02169953737757
"266","S","285",10.1048,1.4291,25.92,33.2,"",1.02170262510067
"267","S","288",10.1631,1.4381,25.92,33.2,"",1.02170262510067
"268","S","289",10.2081,1.4472,25.93,33.2,"",1.02169953737757
"269","S","291",10.1445,1.444,25.9,33.2,"",1.02170879822487
"270","S","293",10.1161,1.4314,25.88,33.2,"",1.02171496825229
"271","S","296",10.1372,1.4335,25.88,33.2,"",1.02171496825229
"322","S","306",10.1372,1.4335,25.88,33.2,"Guessed",1.02171496825229
"323","S","358",10.1372,1.4335,25.88,33.2,"Guessed",1.02171496825229
"324","S","469",10.1372,1.4335,25.88,33.2,"Guessed",1.02171496825229
"325","S","410",10.1372,1.4335,25.88,33.2,"Guessed",1.02171496825229
"326","S","334",10.1372,1.4335,25.88,33.2,"Guessed",1.02171496825229
"327","S","471",10.1372,1.4335,25.88,33.2,"Guessed",1.02171496825229
