Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set to (mL/min),Time0
02/12/20 04:10 PM,-0.041255,0,3992.45122,252,300,01:09:59 AM
02/12/20 04:15 PM,-0.040622,0,3984.760433,270,300,01:14:57 AM
02/12/20 04:20 PM,-0.041202,0,507.404834,270,300,01:19:55 AM
02/12/20 04:25 PM,-0.041622,0,503.488139,252,300,01:24:58 AM
02/12/20 04:30 PM,-0.041694,0,499.655038,270,300,01:29:58 AM
02/12/20 04:35 PM,-0.041504,0,503.674999,270,300,01:35:00 AM
02/12/20 04:40 PM,-0.041215,0,504.014299,270,300,01:39:56 AM
02/12/20 04:45 PM,-0.041488,0,501.138449,270,300,01:44:55 AM
02/12/20 04:50 PM,-0.041065,0,503.264398,252,300,01:49:59 AM
02/12/20 04:55 PM,-0.040409,0,503.550425,252,300,01:54:55 AM
02/12/20 05:00 PM,-0.040901,0,505.182997,252,300,01:59:57 AM
02/12/20 05:05 PM,-0.041628,0,495.279386,252,300,02:05:00 AM
02/12/20 05:10 PM,-0.041383,0,499.210834,252,300,02:09:57 AM
02/12/20 05:15 PM,-0.040861,0,510.668338,252,300,02:14:58 AM
02/12/20 05:20 PM,-0.041556,0,504.919917,252,300,02:19:58 AM
02/12/20 05:25 PM,-0.04132,0,507.919521,252,300,02:24:59 AM
02/12/20 05:30 PM,-0.041347,0,504.051998,252,300,02:29:59 AM
02/12/20 05:35 PM,-0.041192,0,504.357696,234,300,02:34:59 AM
02/12/20 05:40 PM,-0.04154,0,502.943948,252,300,02:40:00 AM
02/12/20 05:45 PM,-0.041448,0,501.781806,252,300,02:44:55 AM
02/12/20 05:50 PM,-0.041422,0,502.616123,234,300,02:50:01 AM
02/12/20 05:55 PM,-0.041373,0,502.195686,252,300,02:54:57 AM
02/12/20 06:00 PM,-0.041465,0,496.81361,252,300,03:00:00 AM
02/12/20 06:05 PM,-0.041717,0,500.790134,234,300,03:04:57 AM
