Time,Tank 1 ,Tank 2,Tank 3,Tank 4,Tank 5 ,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
08/15/2020 09:00:00,28.02772,27.99867,27.99692,28.01538,28.00599,28.04116,28.10191,28.06542,28.01408,28.05042,28.0191,28.00343
08/15/2020 09:05:00,28.0131,28.02243,28.02867,28.00738,28.00294,28.03618,28.10874,28.05101,28.01498,28.03537,28.01149,28.00674
08/15/2020 09:10:00,28.00453,28.04808,28.03806,28.01182,28.00736,28.02447,28.10932,28.03531,28.01233,28.03547,28.01339,28.05239
08/15/2020 09:15:00,28.03401,28.04011,28.03378,28.00874,28.00312,28.01049,28.11151,28.00499,28.0039,28.01215,28.00536,28.04977
08/15/2020 09:20:00,28.05082,28.03754,28.03539,28.0089,28.00698,27.98938,28.1194,28.01315,28.01266,27.99944,28.0133,28.0351
08/15/2020 09:25:00,28.04413,28.01677,28.03256,28.0212,28.00292,28.02826,28.12476,28.06642,28.01184,28.01987,28.01059,28.02392
08/15/2020 09:30:00,28.03277,27.99645,28.02059,28.03042,28.01798,28.03498,28.12333,28.03518,28.02067,28.04716,28.01972,28.01141
08/15/2020 09:35:00,28.02159,28.02693,28.015,28.01389,28.00835,28.03826,28.14525,28.01549,28.01274,28.04355,28.01233,27.99636
08/15/2020 09:40:00,28.00359,28.04795,27.99459,28.01834,28.01772,28.02498,28.13797,27.99586,28.01662,28.02808,28.01162,28.0279
08/15/2020 09:45:00,28.01056,28.04131,28.02182,28.00997,28.01798,28.01523,28.14141,28.0658,28.00559,28.02051,28.00976,28.04606
08/15/2020 09:50:00,28.03641,28.03244,28.05188,28.01157,28.01366,28.003,28.14038,28.05041,28.00735,28.0108,28.00508,28.04201
08/15/2020 09:55:00,28.03282,28.01466,28.05629,28.00636,28.01085,28.00818,28.14882,28.02516,28.00844,28.00085,28.01992,28.02597
08/15/2020 10:00:00,28.02352,27.99707,28.04301,28.00779,28.00897,28.0336,28.14166,28.00167,28.02046,28.03593,28.02241,28.01659
08/15/2020 10:05:00,28.00574,28.01864,28.04123,28.01462,28.01028,28.03498,28.14856,28.02688,28.02821,28.03755,28.02311,28.00222
08/15/2020 10:10:00,28.00694,28.06109,28.0248,27.99895,28.01346,28.0229,28.15672,28.06758,28.01966,28.02844,28.01897,28.00202
08/15/2020 10:15:00,28.03557,28.05622,28.01948,28.01259,28.0123,28.01592,28.15944,28.03598,28.02064,28.01174,28.00938,28.01884
08/15/2020 10:20:00,28.02554,28.03424,28.01926,28.02306,28.01164,28.0121,28.16608,28.01777,28.01959,27.99425,28.0063,28.02793
08/15/2020 10:25:00,28.00574,28.01485,28.00895,28.01757,28.01621,28.01169,28.17049,27.99848,28.0133,28.01926,28.0089,28.0202
08/15/2020 10:30:00,28.00303,28.00803,28.00117,28.01323,28.01072,28.01266,28.17329,28.04562,28.01459,28.05021,28.01308,28.01375
08/15/2020 10:35:00,28.03911,27.99667,28.05137,28.00054,28.02631,28.00172,28.17641,28.04472,28.01854,28.0458,28.01025,28.00169
08/15/2020 10:40:00,28.052,28.054,28.07117,28.00487,28.02092,28.01649,28.17213,28.02146,28.00885,28.02833,28.01382,28.0078
08/15/2020 10:45:00,28.04908,28.06313,28.05754,28.00848,28.02029,28.01485,28.17752,27.99517,28.00884,28.0151,28.01266,28.02574
08/15/2020 10:50:00,28.02662,28.05496,28.05518,28.0073,28.0249,27.99549,28.16993,28.04447,28.00541,28.00282,28.01226,28.01744
08/15/2020 10:55:00,28.00943,28.03569,28.04639,28.01921,28.01775,28.01584,28.18506,28.02493,28.00703,28.00203,28.01233,28.01731
08/15/2020 11:00:00,27.99944,28.0227,28.0348,28.01638,28.0258,28.0118,28.18594,28.00013,28.00326,28.03734,28.01434,27.99376
08/15/2020 11:05:00,28.02665,28.00633,28.02824,28.02097,28.01716,28.01121,28.18106,28.02046,28.00623,28.02498,28.01246,28.0271
08/15/2020 11:10:00,28.04929,27.99943,28.01921,28.01228,28.01979,28.00421,28.18252,28.04283,28.00944,28.0188,28.00287,28.05675
08/15/2020 11:15:00,28.0386,28.02475,28.0201,28.00115,28.02713,28.01156,28.18916,28.02067,28.01857,28.00446,28.01069,28.05185
08/15/2020 11:20:00,28.02767,28.03174,28.00017,28.00233,28.033,28.03275,28.19024,28.00394,28.02128,28.00215,28.00692,28.05239
08/15/2020 11:25:00,28.01239,28.018,27.99841,28.01759,28.02031,28.03275,28.18298,28.03528,28.01277,28.02246,28.01321,28.03113
08/15/2020 11:30:00,28.0088,28.00184,28.02983,28.02582,28.02064,28.01685,28.19316,28.06329,28.02316,28.02854,28.01428,28.02095
08/15/2020 11:35:00,28.01313,28.00744,28.03198,28.02406,28.01851,28.00507,28.19621,28.0357,28.01023,28.01682,28.00795,28.00415
08/15/2020 11:40:00,28.00851,28.02549,28.0349,28.0272,28.01611,28.02003,28.18068,28.02079,28.0101,27.99922,28.0014,28.00279
08/15/2020 11:45:00,28.00092,28.00653,28.02602,28.02223,28.01331,28.02972,28.15865,28.00141,28.00684,28.01825,28.00538,28.03875
08/15/2020 11:50:00,28.01977,28.00194,28.02357,28.01738,28.01059,28.02821,28.15403,28.03447,28.01543,28.04711,28.00685,28.04118
08/15/2020 11:55:00,28.0455,28.01146,28.01251,28.01151,28.01525,28.02651,28.14639,28.05709,28.0108,28.03395,28.00712,28.03772
08/15/2020 12:00:00,28.04247,28.0369,28.00266,28.00321,28.01987,28.00397,28.14747,28.02082,28.01385,28.02339,28.00961,28.01767
08/15/2020 12:05:00,28.02567,28.02461,27.99876,28.0071,28.01426,28.00435,28.14977,28.00305,28.00441,28.00985,28.00274,28.00469
08/15/2020 12:10:00,28.01266,28.00002,28.03311,28.01398,28.01536,28.02877,28.15202,28.00903,28.0153,28.00576,28.0071,27.99928
08/15/2020 12:15:00,28.00574,28.00282,28.03785,28.01331,28.02075,28.03039,28.15241,28.07525,28.01564,28.01269,28.01366,28.05059
08/15/2020 12:20:00,28.03321,28.01679,28.03519,28.00387,28.0111,28.02333,28.15442,28.04757,28.01628,28.06162,28.00631,28.06599
08/15/2020 12:25:00,28.02821,28.01464,28.02015,28.00103,28.01038,28.01687,28.14402,28.02564,28.0099,28.06152,28.00749,28.04419
08/15/2020 12:30:00,28.01564,28.00228,28.01744,28.00664,28.00826,28.00579,28.15503,28.00756,28.00372,28.04587,28.01195,28.04121
08/15/2020 12:35:00,27.99268,28.01135,28.00753,28.01292,28.00897,28.00733,28.15449,28.02998,28.00518,28.03124,28.01907,28.02093
08/15/2020 12:40:00,28.02051,28.04134,27.99415,28.00441,28.01189,28.03375,28.16121,28.03683,28.00546,28.02175,28.01728,28.01057
08/15/2020 12:45:00,28.06008,28.04157,28.02334,28.0032,28.00785,28.04116,28.16785,28.01223,28.00661,28.00302,28.01038,28.00063
08/15/2020 12:50:00,28.06037,28.02529,28.03687,28.02244,28.00377,28.03403,28.15939,27.99687,28.0041,27.99713,28.01684,28.01057
08/15/2020 12:55:00,28.03972,28.01395,28.03141,28.02039,28.01187,28.02905,28.15659,28.07863,28.00138,28.03347,27.99192,28.01903
08/15/2020 13:00:00,28.02598,28.00222,28.0298,28.01218,28.01484,28.00787,28.15277,28.05418,28.0099,28.03219,28.00995,28.01575
08/15/2020 13:05:00,28.01438,28.02521,28.01734,28.01212,28.01787,27.99743,28.15587,28.02205,28.0051,28.01902,28.01877,28.00444
08/15/2020 13:10:00,27.9942,28.02964,28.0098,27.99572,28.01492,28.02954,28.15293,28.00212,28.01836,28.01592,28.01297,28.01153
