Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Salinity,Untitled 5,Untitled 6,Untitled 7,,
08/19/2020 17:05:00,2.58861,199.1992,147.7401,54.51448,32.0806,31.66741,30.51447,-15.1278,,
08/19/2020 17:10:00,2.597462,199.9448,150.6203,55.18237,32.68433,31.05224,30.27247,-12.6062,,
08/19/2020 17:15:00,2.586479,200.6821,149.0853,55.51836,33.1425,31.70227,29.92793,-12.5242,,
08/19/2020 17:20:00,2.587381,201.5998,154.8628,55.05534,32.49842,30.34274,30.42424,-12.5242,,
08/19/2020 17:25:00,2.626312,199.7071,151.0196,53.97361,31.34659,30.87179,31.10102,-11.9297,,
08/19/2020 17:30:00,2.622214,200.338,152.4729,54.70706,32.58611,30.64417,29.94639,-14.0003,,
08/19/2020 17:35:00,2.61287,199.6908,149.1459,54.33009,32.01383,31.40083,30.43039,-12.8522,,
08/19/2020 17:40:00,2.58484,198.6543,154.7053,53.70727,32.45184,29.55942,29.14656,-13.7133,,
08/19/2020 17:45:00,2.595413,198.5355,152.3779,52.65422,31.20207,30.16024,29.96895,-11.7657,,
08/19/2020 17:50:00,2.587545,198.0235,150.2262,53.15821,31.25291,30.61546,30.40988,-12.1142,,
08/19/2020 17:55:00,2.571972,199.1582,156.2712,53.87937,32.8649,29.2826,28.71383,-12.3602,,
08/19/2020 18:00:00,2.616558,199.7481,156.614,52.90826,31.56286,29.35642,29.67363,-13.7338,,
08/19/2020 18:05:00,2.609756,201.0713,158.0114,54.76852,32.71304,29.35642,29.81924,-11.3967,,
08/19/2020 18:10:00,2.602707,199.49,155.9945,53.74825,32.62049,29.44869,28.93942,-12.4422,,
08/19/2020 18:15:00,2.607789,200.166,153.1945,54.11702,32.09917,30.39605,30.08585,-11.1917,,
08/19/2020 18:20:00,2.584184,198.0808,151.9263,53.19508,32.20226,30.15614,29.00095,-11.9297,,
08/19/2020 18:25:00,2.614264,199.2074,151.1849,53.62532,32.01754,30.68313,29.71259,-14.7178,,
08/19/2020 18:30:00,2.610985,199.8178,153.6665,54.08424,32.47414,30.16844,29.4911,-12.0527,,
08/19/2020 18:35:00,2.566645,199.6457,156.7389,54.06375,32.62827,29.2949,29.24295,-12.1142,,
